2025-04-25 00:06:23.611 | INFO     | main:log_requests:56 - 完成请求: OPTIONS /api/internal/users/get_user_info/7 - 状态码: 200 - 处理时间: 1.01ms
2025-04-25 00:06:23.614 | INFO     | main:log_requests:49 - 开始请求: GET /api/internal/users/get_user_info/7
2025-04-25 00:06:23.621 | INFO     | main:log_requests:56 - 完成请求: GET /api/internal/users/get_user_info/7 - 状态码: 200 - 处理时间: 6.69ms
2025-04-25 00:06:29.552 | INFO     | main:log_requests:49 - 开始请求: GET /api/internal/users/get_user_info/2
2025-04-25 00:06:29.561 | INFO     | main:log_requests:56 - 完成请求: GET /api/internal/users/get_user_info/2 - 状态码: 200 - 处理时间: 8.58ms
2025-04-25 00:06:36.704 | INFO     | main:log_requests:49 - 开始请求: PUT /api/internal/users/update_user/2
2025-04-25 00:06:36.721 | INFO     | main:log_requests:56 - 完成请求: PUT /api/internal/users/update_user/2 - 状态码: 422 - 处理时间: 16.11ms
2025-04-25 00:07:38.848 | INFO     | core.lifespan:lifespan:132 - === 应用正在关闭 ===
2025-04-25 00:07:38.854 | INFO     | database.pgsql:close_db:62 - 数据库连接已关闭
2025-04-25 00:07:38.855 | INFO     | core.lifespan:lifespan:137 - 数据库连接已关闭
2025-04-25 00:07:38.855 | INFO     | core.lifespan:lifespan:142 - 所有资源已释放
2025-04-25 00:07:38.856 | INFO     | core.lifespan:lifespan:143 - === 应用已关闭 ===
2025-04-25 00:08:15.535 | INFO     | __main__:<module>:65 - 启动服务器
2025-04-25 00:08:16.634 | INFO     | core.lifespan:lifespan:101 - === 应用启动 ===
2025-04-25 00:08:16.635 | INFO     | core.lifespan:lifespan:102 - 应用名称: FastAPI应用 v1.0.0
2025-04-25 00:08:16.636 | INFO     | core.lifespan:log_system_info:71 - 系统信息: Windows 11 (10.0.22631)
2025-04-25 00:08:16.636 | INFO     | core.lifespan:log_system_info:72 - Python版本: 3.12.4 (tags/v3.12.4:8e8a4ba, Jun  6 2024, 19:30:16) [MSC v.1940 64 bit (AMD64)]
2025-04-25 00:08:16.637 | INFO     | core.lifespan:log_system_info:73 - 运行环境: development
2025-04-25 00:08:16.638 | INFO     | core.lifespan:log_system_info:74 - 调试模式: 启用
2025-04-25 00:08:16.647 | INFO     | core.lifespan:lifespan:112 - API路由注册成功
2025-04-25 00:08:16.648 | INFO     | database.pgsql:init_db:20 - 成功导入User模型: <class 'model.user.User'>
2025-04-25 00:08:16.649 | INFO     | database.pgsql:init_db:23 - 找到Tortoise ORM模型类: [<class 'model.user.User'>, <class 'model.user.test'>]
2025-04-25 00:08:16.649 | INFO     | database.pgsql:init_db:35 - Tortoise配置: {'connections': {'default': {'engine': 'tortoise.backends.asyncpg', 'credentials': {'host': 'localhost', 'port': 5432, 'user': 'root', 'password': '******', 'database': 'postgres'}}}, 'apps': {'models': {'models': ['model', 'aerich.models'], 'default_connection': 'default'}}, 'use_tz': False, 'timezone': 'Asia/Shanghai'}
2025-04-25 00:08:16.650 | INFO     | database.pgsql:init_db:38 - 使用register_tortoise初始化数据库连接...
2025-04-25 00:08:16.651 | INFO     | database.pgsql:init_db:46 - 数据库初始化成功
2025-04-25 00:08:16.651 | INFO     | core.lifespan:lifespan:118 - 数据库连接初始化成功
2025-04-25 00:08:16.652 | INFO     | core.lifespan:lifespan:126 - 所有资源初始化完成
2025-04-25 00:08:16.652 | INFO     | core.lifespan:lifespan:127 - === 应用启动完成 ===
2025-04-25 00:16:19.933 | INFO     | core.lifespan:lifespan:132 - === 应用正在关闭 ===
2025-04-25 00:16:19.935 | INFO     | database.pgsql:close_db:62 - 数据库连接已关闭
2025-04-25 00:16:19.935 | INFO     | core.lifespan:lifespan:137 - 数据库连接已关闭
2025-04-25 00:16:19.936 | INFO     | core.lifespan:lifespan:142 - 所有资源已释放
2025-04-25 00:16:19.936 | INFO     | core.lifespan:lifespan:143 - === 应用已关闭 ===
2025-04-25 00:16:22.648 | INFO     | __main__:<module>:65 - 启动服务器
2025-04-25 00:16:23.750 | INFO     | core.lifespan:lifespan:101 - === 应用启动 ===
2025-04-25 00:16:23.750 | INFO     | core.lifespan:lifespan:102 - 应用名称: FastAPI应用 v1.0.0
2025-04-25 00:16:23.751 | INFO     | core.lifespan:log_system_info:71 - 系统信息: Windows 11 (10.0.22631)
2025-04-25 00:16:23.751 | INFO     | core.lifespan:log_system_info:72 - Python版本: 3.12.4 (tags/v3.12.4:8e8a4ba, Jun  6 2024, 19:30:16) [MSC v.1940 64 bit (AMD64)]
2025-04-25 00:16:23.753 | INFO     | core.lifespan:log_system_info:73 - 运行环境: development
2025-04-25 00:16:23.753 | INFO     | core.lifespan:log_system_info:74 - 调试模式: 启用
2025-04-25 00:16:23.761 | INFO     | core.lifespan:lifespan:112 - API路由注册成功
2025-04-25 00:16:23.762 | INFO     | database.pgsql:init_db:20 - 成功导入User模型: <class 'model.user.User'>
2025-04-25 00:16:23.763 | INFO     | database.pgsql:init_db:23 - 找到Tortoise ORM模型类: [<class 'model.user.User'>, <class 'model.user.test'>]
2025-04-25 00:16:23.763 | INFO     | database.pgsql:init_db:35 - Tortoise配置: {'connections': {'default': {'engine': 'tortoise.backends.asyncpg', 'credentials': {'host': 'localhost', 'port': 5432, 'user': 'root', 'password': '******', 'database': 'postgres'}}}, 'apps': {'models': {'models': ['model', 'aerich.models'], 'default_connection': 'default'}}, 'use_tz': False, 'timezone': 'Asia/Shanghai'}
